"Trends","Search volume","Started","Ended","Trend breakdown","Explore link"
"kiara advani","5K+","May 6, 2025 at 3:40:00 AM UTC+5:30",,"kiara advani,kiara advani met gala debut,aishwarya rai","https://trends.google.com/trends/explore?q=kiara%20advani&geo=IN&hl=en-US"
"earth atmosphere","2K+","May 6, 2025 at 8:40:00 AM UTC+5:30",,"earth atmosphere","https://trends.google.com/trends/explore?q=earth%20atmosphere&geo=IN&hl=en-US"
"skype","5K+","May 5, 2025 at 1:40:00 PM UTC+5:30",,"skype,microsoft teams","https://trends.google.com/trends/explore?q=skype&geo=IN&hl=en-US"
"thunder vs nuggets","5K+","May 6, 2025 at 7:00:00 AM UTC+5:30",,"thunder vs nuggets,shai gilgeous-alexander,2024","https://trends.google.com/trends/explore?q=thunder%20vs%20nuggets&geo=IN&hl=en-US"
"rahul vaidya","5K+","May 5, 2025 at 10:20:00 PM UTC+5:30",,"rahul vaidya","https://trends.google.com/trends/explore?q=rahul%20vaidya&geo=IN&hl=en-US"
"jayanagar","5K+","May 5, 2025 at 9:10:00 PM UTC+5:30",,"jayanagar","https://trends.google.com/trends/explore?q=jayanagar&geo=IN&hl=en-US"
"mp","2K+","May 6, 2025 at 9:20:00 AM UTC+5:30",,"mp","https://trends.google.com/trends/explore?q=mp&geo=IN&hl=en-US"
"sitare zameen par","10K+","May 5, 2025 at 12:50:00 PM UTC+5:30",,"sitare zameen par,sitaare zameen par,aamir khan","https://trends.google.com/trends/explore?q=sitare%20zameen%20par&geo=IN&hl=en-US"
"ather share price","5K+","May 6, 2025 at 9:20:00 AM UTC+5:30",,"ather share price,ather energy,ather energy share price nse today,ather,ather energy ipo,ather ipo","https://trends.google.com/trends/explore?q=ather%20share%20price&geo=IN&hl=en-US"
"admit card 2025","2K+","May 6, 2025 at 9:50:00 AM UTC+5:30",,"admit card 2025","https://trends.google.com/trends/explore?q=admit%20card%202025&geo=IN&hl=en-US"
"royals vs white sox","2K+","May 6, 2025 at 9:50:00 AM UTC+5:30",,"royals vs white sox","https://trends.google.com/trends/explore?q=royals%20vs%20white%20sox&geo=IN&hl=en-US"
"zhao xintong world snooker championship","2K+","May 6, 2025 at 7:00:00 AM UTC+5:30",,"zhao xintong world snooker championship","https://trends.google.com/trends/explore?q=zhao%20xintong%20world%20snooker%20championship&geo=IN&hl=en-US"
"tn 12th result 2025","5K+","May 6, 2025 at 6:40:00 AM UTC+5:30",,"tn 12th result 2025,tnresults-nic-in,tn results,tn results 2025,tn 12th public exam result date 2025,plus two result 2025","https://trends.google.com/trends/explore?q=tn%2012th%20result%202025&geo=IN&hl=en-US"
"digilocker cbse result","5K+","May 6, 2025 at 10:30:00 AM UTC+5:30",,"digilocker cbse result,cbse result 2025 check online,10 cbse result 2025,cbse 12 result 2025 date,result cbse nic in,cbse 12th result,12th public exam result 2025,10th result date 2025 cbse,+2 result date 2025,10th hsc result 2025,12th cbse result 2025","https://trends.google.com/trends/explore?q=digilocker%20cbse%20result&geo=IN&hl=en-US"
"mumbai weather","2K+","May 5, 2025 at 6:40:00 PM UTC+5:30",,"mumbai weather,thunderstorm","https://trends.google.com/trends/explore?q=mumbai%20weather&geo=IN&hl=en-US"
"ajay rai","2K+","May 6, 2025 at 3:10:00 AM UTC+5:30",,"ajay rai,अजय राय","https://trends.google.com/trends/explore?q=ajay%20rai&geo=IN&hl=en-US"
"diljit dosanjh","2K+","May 6, 2025 at 7:00:00 AM UTC+5:30",,"diljit dosanjh,punjabi","https://trends.google.com/trends/explore?q=diljit%20dosanjh&geo=IN&hl=en-US"
"rihanna","1K+","May 6, 2025 at 7:50:00 AM UTC+5:30",,"rihanna,no","https://trends.google.com/trends/explore?q=rihanna&geo=IN&hl=en-US"
"anna wintour","2K+","May 5, 2025 at 10:00:00 PM UTC+5:30",,"anna wintour","https://trends.google.com/trends/explore?q=anna%20wintour&geo=IN&hl=en-US"
"mitchell owen punjab kings","1K+","May 6, 2025 at 9:50:00 AM UTC+5:30",,"mitchell owen punjab kings","https://trends.google.com/trends/explore?q=mitchell%20owen%20punjab%20kings&geo=IN&hl=en-US"
"pope francis cardinals","2K+","May 5, 2025 at 11:00:00 PM UTC+5:30",,"pope francis cardinals","https://trends.google.com/trends/explore?q=pope%20francis%20cardinals&geo=IN&hl=en-US"
"fast result","1K+","May 6, 2025 at 10:10:00 AM UTC+5:30",,"fast result","https://trends.google.com/trends/explore?q=fast%20result&geo=IN&hl=en-US"
